1,Potla,10065.7
Stella-rium (Asterisk MAKINA Remix),1456709,https://osu.ppy.sh/beatmaps/2993974,HD,400.435,0.9959375,Grade.A,2069,2078
Mynarco,824205,https://osu.ppy.sh/beatmaps/1726994,HD,392.377,0.9941176470588236,Grade.SH,843,844
Black Rover (TV Size),781509,https://osu.ppy.sh/beatmaps/1655981,HD,385.519,0.9964539007092199,Grade.SH,533,533
Bass Slut (Original Mix),983911,https://osu.ppy.sh/beatmaps/2084862,HD,382.677,0.9932318104906938,Grade.SH,566,566
The Self Surrendered,517861,https://osu.ppy.sh/beatmaps/1100265,HD,379.338,0.9916025192442267,Grade.SH,2007,2007
13,AChineseMan,7418.42
Save Me,866472,https://osu.ppy.sh/beatmaps/1811527,NM,406.638,0.9786298568507158,Grade.S,4306,4312
Uragiri no Yuuyake -TV Size Long Ver.-,949071,https://osu.ppy.sh/beatmaps/2136676,HDDT,401.95,0.9911582670203359,Grade.SH,535,535
First Storm -Japanese Version-,778657,https://osu.ppy.sh/beatmaps/1635388,NM,398.753,0.9883551673944687,Grade.A,1196,1463
Zan'ei,1759729,https://osu.ppy.sh/beatmaps/3601629,NM,397.267,0.9907738095238096,Grade.A,1410,1426
It's you,1633506,https://osu.ppy.sh/beatmaps/3334163,NM,389.139,0.9873623623623624,Grade.S,1836,1836
14,viv1kk,7341.91
Zan'ei,1759729,https://osu.ppy.sh/beatmaps/3601629,HD,433.258,0.9845238095238096,Grade.SH,1426,1426
Imagination (TV Size),1203416,https://osu.ppy.sh/beatmaps/2505956,HDHR,398.502,0.9959595959595959,Grade.SH,487,488
Walk This Way!,914242,https://osu.ppy.sh/beatmaps/1909555,HD,390.935,0.9768234492160872,Grade.A,634,749
Imagination (TV Size),1171789,https://osu.ppy.sh/beatmaps/2444148,HDHR,382.842,0.993993993993994,Grade.SH,495,495
Pekorap Tropical House Remix,1224414,https://osu.ppy.sh/beatmaps/2546607,HD,379.394,0.9963768115942029,Grade.SH,791,791
15,Calixniisama,7323.33
Zan'ei,1759729,https://osu.ppy.sh/beatmaps/3601629,HD,387.392,0.9852678571428571,Grade.A,1285,1426
Patchwork Staccato,416702,https://osu.ppy.sh/beatmaps/1962068,HDDT,386.454,0.9872448979591837,Grade.SH,1031,1032
world.execute(me);,470977,https://osu.ppy.sh/beatmaps/1067032,HDDT,384.956,0.98989898989899,Grade.SH,851,852
Soundscape,534054,https://osu.ppy.sh/beatmaps/1791963,HD,382.904,0.9903084903084903,Grade.SH,1699,1700
Kessen Spirit,1118112,https://osu.ppy.sh/beatmaps/2335553,HD,365.914,0.9853144915489055,Grade.A,1611,1660
16,F3Mantle,7287.21
Save Me,594170,https://osu.ppy.sh/beatmaps/1256809,NM,438.525,0.9944808913881079,Grade.A,4212,4295
Zan'ei,1759729,https://osu.ppy.sh/beatmaps/3601629,HD,416.697,0.9785714285714285,Grade.SH,1424,1426
Shiroi Yuki no Princess wa,439609,https://osu.ppy.sh/beatmaps/946082,HD,412.697,0.9932075471698113,Grade.A,1601,1742
First Storm feat. Hatsune Miku,696175,https://osu.ppy.sh/beatmaps/1474795,NM,404.521,0.9914698162729659,Grade.S,1355,1356
GHOST,1431255,https://osu.ppy.sh/beatmaps/2946220,NM,391.201,0.9815248503773094,Grade.A,1671,1702
17,InabanHimeko,7228.77
Bass Slut (Original Mix),983911,https://osu.ppy.sh/beatmaps/2118443,DT,419.307,0.9882005899705014,Grade.S,491,492
SAVE (Encore),1440767,https://osu.ppy.sh/beatmaps/2964222,NC,404.066,0.9770642201834863,Grade.S,493,496
Ringo Uri no Utakata Shoujo,752073,https://osu.ppy.sh/beatmaps/1583228,NM,387.784,0.9924812030075187,Grade.A,1720,1933
Save Me,594170,https://osu.ppy.sh/beatmaps/1256809,NM,387.637,0.9820368634801625,Grade.A,4148,4295
Zan'ei,1759729,https://osu.ppy.sh/beatmaps/3601629,HR,374.172,0.9738095238095238,Grade.A,1108,1426
18,Xelane,7205.59
Sentou! Champion,528048,https://osu.ppy.sh/beatmaps/1124179,HDDT,461.089,0.9903660886319846,Grade.SH,473,473
Bass Slut (Original Mix),983911,https://osu.ppy.sh/beatmaps/2118443,HDDT,413.369,0.9901671583087512,Grade.SH,443,492
PADORU / PADORU,1061287,https://osu.ppy.sh/beatmaps/2222861,HDDT,413.19,0.980246913580247,Grade.SH,186,186
V (TV Size),971957,https://osu.ppy.sh/beatmaps/2055202,HDDT,385.489,0.9723046488625123,Grade.SH,500,500
Marshmary,962088,https://osu.ppy.sh/beatmaps/2014469,HDDT,376.013,0.9744444444444444,Grade.A,379,433
19,WoozyDuchess,7194.7
Soundscape,534054,https://osu.ppy.sh/beatmaps/2272898,NM,390.405,0.9868746904408123,Grade.S,1524,1732
Kanshou no Matenrou,436799,https://osu.ppy.sh/beatmaps/985004,NM,387.423,0.9841897233201581,Grade.S,2108,2110
New World,486207,https://osu.ppy.sh/beatmaps/1036841,NM,380.948,0.9915447154471545,Grade.S,1356,1358
Shiroi Yoru Hamon o Utsusu Yami,1396532,https://osu.ppy.sh/beatmaps/2882253,NM,379.942,0.9835164835164835,Grade.S,2083,2084
caramel heaven,297969,https://osu.ppy.sh/beatmaps/817929,NM,376.127,0.9869281045751634,Grade.S,1574,1574
20,KO_O,7069.44
First Storm feat. Hatsune Miku,696175,https://osu.ppy.sh/beatmaps/1474795,NM,412.556,0.9970472440944882,Grade.A,1349,1356
First Storm -Japanese Version-,808175,https://osu.ppy.sh/beatmaps/1695991,NM,385.412,0.9943048576214405,Grade.A,1356,1366
I Bet You'll Forget That Even If You Noticed That,601135,https://osu.ppy.sh/beatmaps/1343792,NM,370.369,0.9952696310312205,Grade.A,1430,1471
The Self Surrendered,517861,https://osu.ppy.sh/beatmaps/1100265,NM,362.302,0.9962677863307674,Grade.S,2007,2007
Asu no Yozora Shoukaihan,384772,https://osu.ppy.sh/beatmaps/930249,NM,357.002,0.9978046103183315,Grade.S,1267,1267
21,dard,7063.44
Start Again,1035167,https://osu.ppy.sh/beatmaps/2165271,HDDT,391.378,0.9789132197891321,Grade.SH,616,617
